id_area;id_programa;ies;nome_programa;inicio_mestrado;inicio_doutorado;conceito_recomendado;id_instituicao
18;33002053008P2;USP/FOB;ODONTOLOGIA (PATOLOGIA BUCAL);1987;1987;4;
18;42003016001P8;UFPEL;ODONTOLOGIA;1976;2004;4;
18;33002053001P8;USP/FOB;ODONTOLOGIA (DENTÍSTICA);1972;1978;4;
18;33004030060P0;UNESP/ARAR;ENDODONTIA;1990;1993;4;
18;33004021073P5;UNESP/Araç;ODONTOPEDIATRIA;1993;1995;4;
18;33002010138P1;USP;ODONTOLOGIA (DIAGNÃ“STICO BUCAL);1988;1988;4;
18;41001010008P0;UFSC;ODONTOLOGIA;1971;2000;4;
18;31004016008P8;UERJ;ODONTOLOGIA;1982;1998;4;
18;33004145070P8;UNESP/SJC;ODONTOLOGIA RESTAURADORA;1992;1992;4;
18;31003010053P0;UFF;ODONTOLOGIA;2002;;4;
18;33002053002P4;USP/FOB;ODONTOLOGIA (ESTOMATOLOGIA BIOLOGIA ORAL);1970;1975;4;
18;40003019009P3;PUC/PR;ODONTOLOGIA;1996;2006;4;
18;33119015002P6;SLMANDIC;ODONTOLOGIA;2004;2005;4;
18;33002010077P2;USP;CIÃŠNCIAS ODONTOLÃ“GICAS;1971;1984;4;
18;33021015001P3;UNITAU;ODONTOLOGIA;1991;2007;4;
18;33067015003P1;USC;BIOLOGIA ORAL;2003;2006;4;
18;24001015039P1;UFPB/J.P.;ODONTOLOGIA;;2000;4;
18;33004021074P1;UNESP/Araç;ODONTOLOGIA PREVENTIVA E SOCIAL;1994;1995;4;
18;42019010001P1;ULBRA;ODONTOLOGIA;1995;2006;4;
18;23001011005P7;UFRN;PATOLOGIA ORAL;1978;1997;4;
18;22001018046P2;UFC;ODONTOLOGIA;2005;;4;
18;25004018006P8;FESP/UPE;ODONTOLOGIA;1972;1986;4;
18;32008015009P2;PUC/MG;ODONTOLOGIA;2002;;4;
18;25004018008P0;FESP/UPE;HEBIATRIA - DETERMINANTES DE SAÃšDE NA ADOLESCENCIA;2005;;4;
18;33002053005P3;USP/FOB;ODONTOLOGIA (REABILITAÃ‡ÃƒO ORAL);1970;1975;4;
18;33117012001P7;UnG;ODONTOLOGIA;2003;;4;
18;40005011004P4;UEPG;ODONTOLOGIA;2002;;4;
18;33078017001P7;UNICSUL;ODONTOLOGIA;2004;;4;
18;24001015034P0;UFPB/J.P.;ODONTOLOGIA (DIAGNÃ“STICO BUCAL);1990;;3;
18;33004030008P8;UNESP/ARAR;DENTÍSTICA RESTAURADORA;1978;1984;3;
18;33004021011P0;UNESP/Araç;ODONTOLOGIA;1977;1981;3;
18;33002053007P6;USP/FOB;ODONTOLOGIA (ENDODONTIA);1987;1989;3;
18;33057010002P7;UNIB;ODONTOLOGIA;2005;;3;
18;33002053003P0;USP/FOB;ODONTOLOGIA (ODONTOPEDIATRIA);1975;1986;3;
18;32006012016P6;UFU;ODONTOLOGIA;2001;;3;
18;28001010029P0;UFBA;ODONTOLOGIA;1992;;3;
18;33063010002P3;UNIP;ODONTOLOGIA;1993;;3;
18;40024016001P2;UNOPAR;ODONTOLOGIA;2003;;3;
18;25001019058P9;UFPE;ODONTOLOGIA;2001;;3;
18;23001011033P0;UFRN;ODONTOLOGIA;2003;;3;
18;15001016039P6;UFPA;ODONTOLOGIA;2003;;3;
18;32021011001P0;UNINCOR;CLÃNICA ODONTOLÃ“GICA;2003;;3;
18;33017018006P1;UMESP;ODONTOLOGIA;1981;;3;
18;33002010187P2;USP;ODONTOLOGIA (PRÃ“TESE-BUCO-MAXILO FACIAL);2003;;3;
18;23004010001P0;UNP;ODONTOLOGIA;2004;;3;
18;52001016025P0;UFG;ODONTOLOGIA;2003;;3;
18;33002010076P6;USP;ODONTOLOGIA (ORTODONTIA);1966;1995;3;
18;33034010003P0;UNIMAR;CLÃNICA ODONTOLÃ“GICA;1997;;2;
18;33003033007P1;UNICAMP/Pi;ODONTOLOGIA LEGAL E DEONTOLOGIA;1990;;2;
19;33002029023P5;USP/RP;CIÃŠNCIAS FARMACÃŠUTICAS;1988;1998;6;
19;33004030081P7;UNESP/ARAR;ANÁLISES CLÍNICAS;1997;1997;6;
19;24001015015P5;UFPB/J.P.;PRODUTOS NATURAIS E SINTÃ‰TICOS BIOATIVOS;1978;1998;6;
19;33002010079P5;USP;FARMÁCIA (ANÁLISES CLÍNICAS);1972;1989;5;
19;42001013023P9;UFRGS;CIÃŠNCIAS FARMACÃŠUTICAS;1970;1992;5;
19;33002010078P9;USP;TECNOLOGIA BIOQUÃMICO-FARMACÃŠUTICA;1973;1990;5;
19;33002029039P9;USP/RP;TOXICOLOGIA;2005;2005;5;
19;33004030078P6;UNESP/ARAR;CIÃŠNCIAS FARMACÃŠUTICAS;1997;2005;4;
19;40004015018P9;UEM;CIÃŠNCIAS FARMACÃŠUTICAS;1999;2006;4;
19;41001010044P7;UFSC;FARMÁCIA;1999;2005;4;
19;40001016042P8;UFPR;CIÃŠNCIAS FARMACÃŠUTICAS;2000;;4;
19;33002010080P3;USP;TOXICOLOGIA E ANÃLISES TOXICOLÃ“GICAS;1972;1999;4;
19;33002010081P0;USP;FÁRMACOS E MEDICAMENTOS;1978;1987;4;
19;32001010055P0;UFMG;CIÃŠNCIAS FARMACÃŠUTICAS;1996;1996;4;
19;33002029041P3;USP/RP;BIOCIÃŠNCIAS APLICADAS  Ã€ FARMÃCIA;2005;2005;4;
19;31001017099P4;UFRJ;CIÃŠNCIAS FARMACÃŠUTICAS;1991;;3;
19;41005015008P2;UNIVALI;CIÃŠNCIAS FARMACÃŠUTICAS;2001;;3;
19;42002010029P7;UFSM;CIÃŠNCIAS FARMACÃŠUTICAS;2004;;3;
19;25001019027P6;UFPE;CIÃŠNCIAS FARMACÃŠUTICAS;1976;2003;3;
19;40004015022P6;UEM;ANÁLISES CLÍNICAS;2003;;3;
19;23001011040P7;UFRN;CIÃŠNCIAS FARMACÃŠUTICAS;2005;;3;
19;32011016003P1;UNIFAL;CIÃŠNCIAS FARMACÃŠUTICAS;2005;;3;
19;52001016031P0;UFG;CIÃŠNCIAS FARMACÃŠUTICAS;2005;;3;
19;15001016049P1;UFPA;CIÃŠNCIAS FARMACÃŠUTICAS;2006;;3;
19;22001018038P0;UFC;CIÃŠNCIAS FARMACÃŠUTICAS;2001;;2;
20;33002029017P5;USP/RP;ENFERMAGEM FUNDAMENTAL;1979;1991;6;
20;33002029027P0;USP/RP;ENFERMAGEM EM SAÃšDE PÃšBLICA;1991;1998;5;
20;33002010120P5;USP;ENFERMAGEM;;1981;5;
20;41001010009P7;UFSC;ENFERMAGEM;1976;1993;5;
20;33009015035P2;UNIFESP;ENFERMAGEM;1996;1986;5;
20;33002029016P9;USP/RP;ENFERMAGEM PSIQUIÁTRICA;1975;1999;5;
20;22001018021P0;UFC;ENFERMAGEM;1993;1998;5;
20;33002010186P6;USP;ENFERMAGEM NA SAÃšDE DO ADULTO;2000;2000;5;
20;31001017060P0;UFRJ;ENFERMAGEM;1972;1990;5;
20;33002010083P2;USP;ENFERMAGEM;1973;1989;5;
20;33003017072P7;UNICAMP;ENFERMAGEM;1999;;4;
20;32001010046P0;UFMG;ENFERMAGEM;1994;2005;4;
